0,rank0,0,400,DRRANK_0,DRRANK_0,rank_0,400,;,;,;,;,;,1,1,;,DRRANK_0
1,rank1,400,800,DRRANK_1,DRRANK_1,rank_1,1200,;,;,;,;,;,2,2,;,DRRANK_1
2,rank2,1200,1200,DRRANK_2,DRRANK_2,rank_2,2400,;,;,;,;,;,3,3,;,DRRANK_2
3,rank3,2400,1600,DRRANK_3,DRRANK_3,rank_3,4000,;,;,;,;,;,4,4,;,DRRANK_3
4,rank4,4000,2000,DRRANK_4,DRRANK_4,rank_4,6000,;,;,;,;,;,5,5,;,DRRANK_4
5,rank5,6000,2400,DRRANK_5,DRRANK_5,rank_5,8400,;,;,;,;,;,6,6,;,DRRANK_5
6,rank6,8400,2800,DRRANK_6,DRRANK_6,rank_6,11200,;,;,;,;,;,7,7,;,DRRANK_6
7,rank7,11200,3200,DRRANK_7,DRRANK_7,rank_7,14400,;,;,;,;,;,8,8,;,DRRANK_7
8,rank8,14400,3600,DRRANK_8,DRRANK_8,rank_8,18000,;,;,;,;,;,9,9,;,DRRANK_8
9,rank9,18000,4000,DRRANK_9,DRRANK_9,rank_9,22000,;,;,;,;,;,10,10,;,DRRANK_9
10,rank10,22000,4400,DRRANK_10,DRRANK_10,rank_10,26400,;,;,;,;,;,11,11,;,DRRANK_10
11,rank11,26400,4800,DRRANK_11,DRRANK_11,rank_11,31200,;,;,;,;,;,12,12,;,DRRANK_11
12,rank12,31200,5200,DRRANK_12,DRRANK_12,rank_12,36400,;,;,;,;,;,13,13,;,DRRANK_12
13,rank13,36400,5600,DRRANK_13,DRRANK_13,rank_13,42000,;,;,;,;,;,14,14,;,DRRANK_13
14,rank14,42000,6000,DRRANK_14,DRRANK_14,rank_14,48000,;,;,;,;,;,15,15,;,DRRANK_14
15,rank15,48000,6400,DRRANK_15,DRRANK_15,rank_15,54400,;,;,;,;,;,16,16,;,DRRANK_15
16,rank16,54400,6800,DRRANK_16,DRRANK_16,rank_16,61200,;,;,;,;,;,17,17,;,DRRANK_16
17,rank17,61200,7200,DRRANK_17,DRRANK_17,rank_17,68400,;,;,;,;,;,18,18,;,DRRANK_17
18,rank18,68400,7600,DRRANK_18,DRRANK_18,rank_18,76000,;,;,;,;,;,19,19,;,DRRANK_18
19,rank19,76000,8000,DRRANK_19,DRRANK_19,rank_19,84000,;,;,;,;,;,20,20,;,DRRANK_19
20,rank20,84000,8400,DRRANK_20,DRRANK_20,rank_20,92400,;,;,;,;,;,21,21,;,DRRANK_20
21,rank21,92400,8800,DRRANK_21,DRRANK_21,rank_21,101200,;,;,;,;,;,22,22,;,DRRANK_21
